#obs runtime
1 0.48
2 0.20
3 0.21
4 0.12
5 0.26
6 0.18
7 0.21
8 0.22
9 0.26
10 0.26
11 0.27
12 0.31
13 0.39
14 0.34
15 0.31
16 0.31
17 0.31
18 0.35
19 0.27
20 0.24
21 0.32
22 0.38
23 0.37
24 0.48
25 0.43
26 0.39
27 0.49
28 0.51
29 0.38
30 0.53
31 0.59
32 0.61
33 0.60
34 0.61
35 0.64
36 0.88
37 0.95
38 0.98
39 0.105
40 0.99
41 0.112
42 0.112
43 0.149
44 0.120
45 0.122
46 0.124
47 0.122
48 0.196
49 0.200
50 0.201
51 0.206
52 0.208
53 0.228
54 0.325
55 0.263
56 0.257
57 0.252
58 0.259
59 0.261
60 0.304
61 0.312
62 0.321
63 0.326
64 0.387
65 0.477
66 0.450
67 0.524
68 0.531
69 0.551
70 0.550
71 0.461
72 0.554
73 0.556
74 0.556
75 0.25
76 0.21
77 0.26
78 0.25
79 0.26
80 0.20
81 0.10
82 0.15
83 0.23
84 0.20
85 0.25
86 0.24
87 0.25
88 0.25
