#obs runtime
1 0.5
2 0.5
3 0.5
4 0.5
5 0.6
6 0.6
7 0.7
8 0.8
9 0.9
10 0.10
11 0.7
12 0.8
13 0.9
14 0.10
15 0.11
16 0.12
17 0.13
18 0.15
19 0.16
20 0.18
21 0.22
22 0.21
23 0.23
24 0.25
25 0.29
26 0.31
27 0.34
28 0.36
29 0.39
30 0.46
31 0.48
32 0.51
33 0.54
34 0.63
35 0.62
36 0.66
37 0.75
38 0.79
39 0.81
40 0.87
41 0.93
42 0.98
43 0.104
44 0.110
45 0.117
46 0.123
47 0.131
48 0.137
49 0.146
50 0.153
51 0.161
52 0.169
53 0.180
54 0.193
55 0.201
56 0.220
57 0.219
58 0.232
59 0.238
60 0.254
61 0.267
62 0.280
63 0.288
64 0.309
65 0.315
66 0.333
67 0.341
68 0.352
69 0.368
70 0.384
71 0.404
72 0.414
73 0.433
74 0.447
75 0.465
76 0.480
77 0.496
78 0.518
79 0.537
80 0.563
81 0.581
82 0.592
83 0.617
84 0.632
85 0.668
86 0.685
87 0.705
88 0.729
89 0.752
90 0.771
91 0.796
92 0.819
93 0.850
94 0.870
95 0.898
96 0.927
97 0.957
98 0.985
99 1.1019
100 1.1037
